,map_link,vod_link,team_names,comp_mappings
0,https://www.vlr.gg/184473/team-secret-vs-rex-regum-qeon-champions-tour-2023-pacific-league-w4/?game=119561&tab=overview,https://www.youtube.com/live/y_zW8GWzvyY?feature=share&t=13697,"['Team Secret', 'Rex Regum Qeon']","[('Jremy', 'Raze'), ('invy', 'Skye'), ('BORKUM', 'Astra'), ('JessieVash', 'Cypher'), ('DubsteP', 'Jett'), ('fl1pzjder', 'Breach'), ('xffero', 'Astra'), ('EJAY', 'Raze'), ('Emman', 'Skye'), ('Lmemore', 'Cypher')]"
0,https://www.vlr.gg/184474/t1-vs-gen-g-champions-tour-2023-pacific-league-w4/?game=119563&tab=overview,https://www.youtube.com/live/RnWsbTJy8v0?feature=share&t=7740,"['T1', 'Gen.G']","[('Sayaplayer', 'Jett'), ('xeta', 'Sova'), ('Munchkin', 'Killjoy'), ('ban', 'Omen'), ('Carpe', 'Kayo'), ('GodDead', 'Kayo'), ('Meteor', 'Jett'), ('k1Ng', 'Killjoy'), ('eKo', 'Sova'), ('TS', 'Omen')]"
0,https://www.vlr.gg/184474/t1-vs-gen-g-champions-tour-2023-pacific-league-w4/?game=119564&tab=overview,https://www.youtube.com/live/RnWsbTJy8v0?feature=share&t=3992,"['T1', 'Gen.G']","[('Carpe', 'Breach'), ('iNTRO', 'Omen'), ('xeta', 'Sova'), ('Munchkin', 'Killjoy'), ('Sayaplayer', 'Jett'), ('k1Ng', 'Killjoy'), ('Sylvan', 'Sova'), ('GodDead', 'Breach'), ('TS', 'Omen'), ('Meteor', 'Jett')]"
0,https://www.vlr.gg/184475/zeta-division-vs-detonation-focusme-champions-tour-2023-pacific-league-w4/?game=119566&tab=overview,https://www.youtube.com/live/RnWsbTJy8v0?feature=share&t=16778,"['ZETA DIVISION', 'DetonatioN FocusMe']","[('SugarZ3ro', 'Omen'), ('Laz', 'Sova'), ('crow', 'Kayo'), ('TENNN', 'Killjoy'), ('Dep', 'Jett'), ('Reita', 'Sova'), ('Suggest', 'Killjoy'), ('takej', 'Omen'), ('Seoldam', 'Jett'), ('Anthem', 'Kayo')]"
0,https://www.vlr.gg/184475/zeta-division-vs-detonation-focusme-champions-tour-2023-pacific-league-w4/?game=119567&tab=overview,https://www.youtube.com/live/RnWsbTJy8v0?feature=share&t=12814,"['ZETA DIVISION', 'DetonatioN FocusMe']","[('Dep', 'Jett'), ('crow', 'Breach'), ('TENNN', 'Killjoy'), ('Laz', 'Sova'), ('SugarZ3ro', 'Omen'), ('takej', 'Omen'), ('Anthem', 'Breach'), ('Seoldam', 'Jett'), ('Reita', 'Sova'), ('Suggest', 'Killjoy')]"
0,https://www.vlr.gg/184476/talon-esports-vs-global-esports-champions-tour-2023-pacific-league-w4/?game=119569&tab=overview,https://www.youtube.com/live/fVLx0d6_qKs?feature=share&t=7572,"['Talon Esports', 'Global Esports']","[('garnetS', 'Raze'), ('Patt', 'Kayo'), ('Crws', 'Astra'), ('Sushiboys', 'Viper'), ('foxz', 'Skye'), ('Monyet', 'Astra'), ('Bazzi', 'Skye'), ('t3xture', 'Sage'), ('AYRIN', 'Viper'), ('Lightningfast', 'Raze')]"
0,https://www.vlr.gg/184476/talon-esports-vs-global-esports-champions-tour-2023-pacific-league-w4/?game=119570&tab=overview,https://www.youtube.com/live/fVLx0d6_qKs?feature=share&t=3876,"['Talon Esports', 'Global Esports']","[('foxz', 'Sova'), ('Patt', 'Harbor'), ('garnetS', 'Jett'), ('Sushiboys', 'Killjoy'), ('Crws', 'Viper'), ('Bazzi', 'Skye'), ('t3xture', 'Killjoy'), ('SkRossi', 'Jett'), ('Monyet', 'Viper'), ('AYRIN', 'Harbor')]"
0,https://www.vlr.gg/184477/paper-rex-vs-global-esports-champions-tour-2023-pacific-league-w5/?game=119572&tab=overview,https://www.youtube.com/live/X6Bv6hz5B4Q?feature=share&t=11170,"['Paper Rex', 'Global Esports']","[('something', 'Jett'), ('Jinggg', 'Sage'), ('f0rsakeN', 'Sova'), ('cgrs', 'Gekko'), ('mindfreak', 'Viper'), ('t3xture', 'Killjoy'), ('SkRossi', 'Jett'), ('Bazzi', 'Skye'), ('Monyet', 'Viper'), ('AYRIN', 'Harbor')]"
0,https://www.vlr.gg/184477/paper-rex-vs-global-esports-champions-tour-2023-pacific-league-w5/?game=119573&tab=overview,https://www.youtube.com/live/X6Bv6hz5B4Q?feature=share&t=7700,"['Paper Rex', 'Global Esports']","[('mindfreak', 'Astra'), ('d4v41', 'Viper'), ('something', 'Jett'), ('Jinggg', 'Raze'), ('f0rsakeN', 'Skye'), ('AYRIN', 'Viper'), ('Bazzi', 'Skye'), ('Lightningfast', 'Raze'), ('Monyet', 'Astra'), ('t3xture', 'Sage')]"
0,https://www.vlr.gg/184477/paper-rex-vs-global-esports-champions-tour-2023-pacific-league-w5/?game=119574&tab=overview,https://www.youtube.com/live/X6Bv6hz5B4Q?feature=share&t=4021,"['Paper Rex', 'Global Esports']","[('something', 'Jett'), ('Jinggg', 'Phoenix'), ('d4v41', 'Skye'), ('f0rsakeN', 'Killjoy'), ('mindfreak', 'Astra'), ('Monyet', 'Astra'), ('AYRIN', 'Killjoy'), ('SkRossi', 'Jett'), ('Bazzi', 'Fade'), ('WRONSKI', 'Kayo')]"
